,Image.ID,area_necrosis,area_total_cross_section,convex_hull_area_necrosis,convex_hull_area_total_cross_section,solidity_necrosis,solidity_total_cross_section,perimeter_necrosis,perimeter_total_cross_section,width_necrosis,width_total_cross_section,height_necrosis,height_total_cross_section,longest_path_necrosis,longest_path_total_cross_section,convex_hull_vertices_necrosis,convex_hull_vertices_total_cross_section,ellipse_major_axis_necrosis,ellipse_major_axis_total_cross_section,ellipse_minor_axis_necrosis,ellipse_minor_axis_total_cross_section,ellipse_angle_necrosis,ellipse_angle_total_cross_section,ellipse_eccentricity_necrosis,ellipse_eccentricity_total_cross_section,percent_necrosis,necrotic_area_fraction,necrotic_width_fraction
89,C2_NaCRRI_CET_GWAS_2019_118_5_Root4_image3_1_2020-10-14-09-52-28,4376,481343,18953.5,486443.5,0.23088084,0.989514712,1026.798113,2708.022632,388,783,243,813,2539,5650,21,72,474.7017822,823.9012451,121.6080399,743.5292358,56.13015747,39.02589417,0.966629688,0.430795738,0.909123016,0.039376287,0.576163448
90,C2_NaCRRI_CET_GWAS_2019_118_6_Root1_image1_1_2020-10-14-09-53-53,6793,2894381,30045,2928028.5,0.226094192,0.988508479,1617.39818,6891.137753,451,1858,533,2007,4012,13860,21,85,613.5127563,1992.221802,90.33984375,1850.421753,37.55171585,8.238864899,0.989099284,0.370523325,0.234696123,0.010380458,0.307954042
91,C2_NaCRRI_CET_GWAS_2019_118_6_Root1_image2_1_2020-10-14-09-54-38,NA,2179300,NA,2410160.5,NA,0.904213641,NA,7233.956076,NA,1725,NA,1946,NA,13710,NA,72,NA,2094.327393,NA,1445.868408,NA,152.9667816,NA,0.723453004,NA,NA,NA
92,C2_NaCRRI_CET_GWAS_2019_118_6_Root1_image3_1_2020-10-14-09-55-29,NA,1199874,NA,1209547,NA,0.992002791,NA,4206.023844,NA,1243,NA,1251,NA,9349,NA,86,NA,1286.012939,NA,1188.908081,NA,46.94030762,NA,0.381202564,NA,NA,NA
93,C2_NaCRRI_CET_GWAS_2019_118_6_Root2_image1_1_2020-10-14-09-56-51,199547,1142643,235311,1148870,0.848013905,0.994579892,2847.429706,4101.354797,559,1214,518,1219,4480,8552,48,83,590.6629639,1229.529907,486.9339294,1182.013184,129.1724243,140.8299103,0.566028883,0.275316132,17.46363475,0.205935712,0.480397394
94,C2_NaCRRI_CET_GWAS_2019_118_6_Root2_image2_1_2020-10-14-09-57-44,NA,1259059,NA,1275942,NA,0.986768207,NA,4469.146646,NA,1242,NA,1301,NA,9691,NA,64,NA,1305.968506,NA,1231.220947,NA,168.067688,NA,0.333458852,NA,NA,NA
95,C2_NaCRRI_CET_GWAS_2019_118_6_Root2_image3_1_2020-10-14-09-58-33,NA,840173,NA,846874,NA,0.992087371,NA,3533.433882,NA,1017,NA,1053,NA,7917,NA,77,NA,1067.222412,NA,1001.553467,NA,26.10396576,NA,0.345367769,NA,NA,NA
96,C2_NaCRRI_CET_GWAS_2019_118_6_Root3_image1_1_2020-10-14-09-59-16,NA,1078062,NA,1084867.5,NA,0.993726884,NA,4013.129401,NA,1206,NA,1158,NA,8450,NA,101,NA,1205.842285,NA,1138.445435,NA,69.62309265,NA,0.329636086,NA,NA,NA
97,C2_NaCRRI_CET_GWAS_2019_118_6_Root3_image2_1_2020-10-14-09-59-41,NA,1579363,NA,1587384,NA,0.994947032,NA,4800.097,NA,1395,NA,1451,NA,10089,NA,100,NA,1450.4198,NA,1385.84436,NA,160.3379517,NA,0.295062015,NA,NA,NA
98,C2_NaCRRI_CET_GWAS_2019_118_6_Root3_image3_1_2020-10-14-10-00-12,25317,1501826,581957.5,1510719.5,0.043503177,0.99411307,6161.488141,4712.959916,1116,1367,852,1395,7717,10265,36,87,1008.494385,1396.117676,793.68927,1367.586304,89.16335297,7.279227257,0.616947698,0.201133803,1.685747883,0.38749995,0.72235629
