"","Image.ID","area_necrosis","area_total_cross_section","convex_hull_area_necrosis","convex_hull_area_total_cross_section","solidity_necrosis","solidity_total_cross_section","perimeter_necrosis","perimeter_total_cross_section","width_necrosis","width_total_cross_section","height_necrosis","height_total_cross_section","longest_path_necrosis","longest_path_total_cross_section","convex_hull_vertices_necrosis","convex_hull_vertices_total_cross_section","ellipse_major_axis_necrosis","ellipse_major_axis_total_cross_section","ellipse_minor_axis_necrosis","ellipse_minor_axis_total_cross_section","ellipse_angle_necrosis","ellipse_angle_total_cross_section","ellipse_eccentricity_necrosis","ellipse_eccentricity_total_cross_section","percent_necrosis","necrotic_area_fraction","necrotic_width_fraction"
"378","2020_C2_CET_GWAS_Serere_217_10_Root2_image1_1_2021-11-15-09-28-40",NA,264322,NA,291488.5,NA,0.906800782878227,NA,3258.96463370323,NA,448,NA,800,NA,5901,NA,14,NA,915.419616699219,NA,411.981079101562,NA,9.83251094818115,NA,0.893005295606816,NA,NA,NA
"379","2020_C2_CET_GWAS_Serere_217_10_Root2_image2_1_2021-11-15-09-28-51",NA,207176,NA,238452.5,NA,0.868835512313773,NA,2258.21232664585,NA,503,NA,595,NA,4651,NA,25,NA,690.526794433594,NA,428.973449707031,NA,155.167404174805,NA,0.783631166269983,NA,NA,NA
"380","2020_C2_CET_GWAS_Serere_217_10_Root3_image1_1_2021-11-15-09-29-11",NA,253975,NA,275685,NA,0.921250702794856,NA,2694.67322266102,NA,406,NA,800,NA,5881,NA,16,NA,933.747436523438,NA,389.105133056641,NA,5.85709762573242,NA,0.909037889804004,NA,NA,NA
"381","2020_C2_CET_GWAS_Serere_217_10_Root3_image2_1_2021-11-15-09-29-23",2906,246449,4712.5,269215,0.616657824933687,0.915435618371933,417.622364282608,2962.78086817265,45,400,164,800,1071,5874,14,21,148.744888305664,848.218505859375,38.3209533691406,400.056549072266,3.93487071990967,6.51985359191895,0.966243990359875,0.881789445757077,1.17914862709932,0.0191216032525999,0.175361522152789
"382","2020_C2_CET_GWAS_Serere_217_10_Root3_image3_1_2021-11-15-09-29-32",NA,281796,NA,322562.5,NA,0.873616740941678,NA,2925.06513893604,NA,518,NA,800,NA,5875,NA,26,NA,800.9169921875,NA,531.075744628906,NA,6.77790594100952,NA,0.748544439621437,NA,NA,NA
"383","2020_C2_CET_GWAS_Serere_217_10_Root4_image1_1_2021-11-15-09-29-42",NA,224498,NA,241055,NA,0.931314430316733,NA,2614.53108727932,NA,389,NA,800,NA,5859,NA,16,NA,935.525085449219,NA,351.053955078125,NA,7.87253093719482,NA,0.926924434979092,NA,NA,NA
"384","2020_C2_CET_GWAS_Serere_217_10_Root4_image2_1_2021-11-15-09-29-56",NA,255681,NA,289945,NA,0.881825863525841,NA,3019.4255297184,NA,439,NA,800,NA,5907,NA,19,NA,827.51806640625,NA,441.766296386719,NA,4.72062397003174,NA,0.845582418598698,NA,NA,NA
"385","2020_C2_CET_GWAS_Serere_217_10_Root4_image3_1_2021-11-15-09-30-06",NA,237787,NA,266173.5,NA,0.893353395435684,NA,2856.76362323761,NA,441,NA,800,NA,5878,NA,17,NA,897.570739746094,NA,404.869323730469,NA,10.5270557403564,NA,0.892487397278552,NA,NA,NA
"386","2020_C2_CET_GWAS_Serere_217_1_Root1_image1_1_2021-11-15-09-20-24",NA,242665,NA,262833,NA,0.923266865271865,NA,2313.17574882507,NA,504,NA,637,NA,4988,NA,18,NA,706.2333984375,NA,503.080627441406,NA,17.506742477417,NA,0.701831195748837,NA,NA,NA
"387","2020_C2_CET_GWAS_Serere_217_1_Root1_image2_1_2021-11-15-09-20-36",NA,274807,NA,313474,NA,0.876650057102024,NA,2730.53822755814,NA,509,NA,728,NA,5952,NA,26,NA,815.688720703125,NA,472.961090087891,NA,164.99006652832,NA,0.814737224988589,NA,NA,NA
